Year,Quarter,State,Region,Segment,Vehicle_Class,Manufacturer,Fuel_Type,Units_Sold,Avg_Price_INR
FY2020,Q2,Uttarakhand,North,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,345.0,178531.0
FY2023,Q2,Tamil Nadu,South,Two-Wheeler,Motorcycle,Hero MotoCorp,Electric,291883.0,75684.0
FY2024,Q3,Madhya Pradesh,Central,Commercial Vehicle,LCV,Tata Motors,Electric,14052.0,1084975.0
FY2019,Q3,Sikkim,Northeast,Passenger Car,Sedan,Toyota,Petrol,1048.0,562967.0
FY2022,Q2,Karnataka,South,Two-Wheeler,Scooter,Bajaj Auto,Petrol,219100.0,86750.0
FY2020,Q2,Assam,Northeast,Electric Vehicle,E-Two-Wheeler,TVS Motor,Electric,158.0,223137.0
FY2023,Q4,Odisha,East,Commercial Vehicle,LCV,Mahindra,Diesel,4588.0,1202358.0
FY2020,Q1,Uttar Pradesh,North,Commercial Vehicle,LCV,Mahindra,Diesel,18739.0,417222.0
FY2024,Q4,Nagaland,Northeast,Two-Wheeler,Motorcycle,Bajaj Auto,CNG,4192.0,69556.0
FY2022,Q2,Jammu & Kashmir,North,Passenger Car,SUV,Hyundai,Petrol,4044.0,1000280.0
FY2021,Q1,Bihar,East,Commercial Vehicle,LCV,Mahindra,Diesel,3219.0,1595604.0
FY2020,Q3,Andhra Pradesh,South,Two-Wheeler,Motorcycle,Hero MotoCorp,Electric,335574.0,63259.0
FY2022,Q4,Meghalaya,Northeast,Passenger Car,MUV,Others,Electric,1442.0,1411422.0
FY2023,Q4,Andhra Pradesh,South,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,12850.0,1122356.0
FY2024,Q2,Kerala,South,Two-Wheeler,Scooter,TVS Motor,Petrol,123998.0,78368.0
FY2022,Q1,Punjab,North,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,2007.0,176374.0
FY2021,Q3,Sikkim,Northeast,Passenger Car,Hatchback,Tata Motors,Petrol,861.0,729556.0
FY2020,Q4,Madhya Pradesh,Central,Passenger Car,SUV,Tata Motors,Petrol,31010.0,700447.0
FY2021,Q2,Assam,Northeast,Passenger Car,SUV,Kia,Petrol,4940.0,824223.0
FY2023,Q1,Odisha,East,Passenger Car,SUV,Maruti Suzuki,Diesel,15594.0,1027789.0
FY2020,Q1,Himachal Pradesh,North,Commercial Vehicle,LCV,Tata Motors,CNG,1424.0,1515305.0
FY2022,Q3,Tripura,Northeast,Passenger Car,Sedan,Tata Motors,CNG,1883.0,803235.0
FY2024,Q1,Andhra Pradesh,South,Two-Wheeler,Motorcycle,TVS Motor,Petrol,238859.0,58032.0
FY2020,Q2,Uttar Pradesh,North,Passenger Car,Hatchback,Others,Petrol,53810.0,1087061.0
FY2023,Q1,Tripura,Northeast,Two-Wheeler,Scooter,Others,Electric,10517.0,37946.0
FY2024,Q4,Kerala,South,Two-Wheeler,Scooter,Hero MotoCorp,Electric,135710.0,88920.0
FY2020,Q3,Assam,Northeast,Commercial Vehicle,MHCV,Tata Motors,Diesel,2037.0,937055.0
FY2020,Q3,Delhi,North,Electric Vehicle,E-Three-Wheeler,Ather Energy,Electric,4321.0,395570.0
FY2020,Q3,Maharashtra,West,Commercial Vehicle,LCV,Mahindra,CNG,21286.0,297352.0
FY2024,Q1,Telangana,South,Two-Wheeler,Moped,Hero MotoCorp,Petrol,197007.0,37678.0
FY2019,Q1,Jammu & Kashmir,North,Commercial Vehicle,LCV,Tata Motors,CNG,1280.0,962078.0
FY2022,Q4,Odisha,East,Commercial Vehicle,Three-Wheeler Goods,Eicher Motors,Diesel,3543.0,2386172.0
FY2021,Q2,Tamil Nadu,South,Passenger Car,Sedan,Maruti Suzuki,Electric,58695.0,735563.0
FY2020,Q3,Jharkhand,East,Passenger Car,SUV,Maruti Suzuki,CNG,7640.0,690031.0
FY2019,Q1,Jharkhand,East,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,92.0,133949.0
FY2021,Q2,Chhattisgarh,Central,Passenger Car,SUV,Maruti Suzuki,Electric,7409.0,1254005.0
FY2020,Q2,Gujarat,West,Passenger Car,SUV,Hyundai,Diesel,42944.0,991940.0
FY2023,Q1,Rajasthan,North,Passenger Car,Hatchback,Tata Motors,Petrol,50626.0,432651.0
FY2023,Q3,Kerala,South,Commercial Vehicle,LCV,Eicher Motors,Diesel,8874.0,1250151.0
FY2023,Q3,Assam,Northeast,Commercial Vehicle,MHCV,Tata Motors,Diesel,2654.0,2109517.0
FY2021,Q2,Kerala,South,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,2639.0,196143.0
FY2022,Q1,Tamil Nadu,South,Electric Vehicle,E-Three-Wheeler,Others,Electric,8211.0,176520.0
FY2019,Q4,West Bengal,East,Two-Wheeler,Moped,Hero MotoCorp,CNG,259274.0,55536.0
FY2021,Q4,Manipur,Northeast,Passenger Car,SUV,Maruti Suzuki,Electric,679.0,797228.0
FY2021,Q3,Kerala,South,Two-Wheeler,Motorcycle,TVS Motor,Petrol,147866.0,90056.0
FY2019,Q1,Madhya Pradesh,Central,Passenger Car,SUV,Maruti Suzuki,Petrol,,1133400.0
FY2024,Q3,Manipur,Northeast,Passenger Car,MUV,Hyundai,Petrol,1181.0,572685.0
FY2020,Q3,Nagaland,Northeast,Two-Wheeler,Scooter,Royal Enfield,Petrol,6046.0,45540.0
FY2019,Q2,Punjab,North,Electric Vehicle,E-Three-Wheeler,Ather Energy,Electric,329.0,351403.0
FY2024,Q1,Delhi,North,Passenger Car,Hatchback,Mahindra,Petrol,55732.0,1103442.0
FY2020,Q2,Sikkim,Northeast,Commercial Vehicle,LCV,Eicher Motors,Diesel,176.0,1648894.0
FY2022,Q2,Meghalaya,Northeast,Electric Vehicle,E-Car,TVS Motor,Electric,88.0,30157.0
FY2019,Q3,Jharkhand,East,Two-Wheeler,Motorcycle,Royal Enfield,Electric,83254.0,54351.0
FY2019,Q3,Andhra Pradesh,South,Commercial Vehicle,LCV,Ashok Leyland,Diesel,13221.0,1267381.0
FY2021,Q3,Nagaland,Northeast,Passenger Car,MUV,Maruti Suzuki,Petrol,841.0,942863.0
FY2019,Q3,Tripura,Northeast,Electric Vehicle,E-Two-Wheeler,TVS Motor,Electric,38.0,351113.0
FY2023,Q2,Chhattisgarh,Central,Electric Vehicle,E-Three-Wheeler,Bajaj Auto,Electric,2069.0,129328.0
FY2022,Q4,Goa,West,Electric Vehicle,E-Car,Tata Motors,Electric,1054.0,201135.0
FY2020,Q4,Sikkim,Northeast,Commercial Vehicle,LCV,Eicher Motors,Diesel,173.0,946675.0
FY2024,Q2,Madhya Pradesh,Central,Passenger Car,MUV,Mahindra,Petrol,43027.0,758056.0
FY2019,Q2,Rajasthan,North,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,331872.0,37088.0
FY2023,Q3,Maharashtra,West,Passenger Car,SUV,Maruti Suzuki,Petrol,140090.0,938374.0
FY2021,Q3,Uttarakhand,North,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,52185.0,
FY2020,Q2,Maharashtra,West,Two-Wheeler,Motorcycle,Royal Enfield,Petrol,382621.0,95175.0
FY2020,Q3,Kerala,South,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,2973.0,271301.0
FY2020,Q1,Uttarakhand,North,Commercial Vehicle,LCV,Mahindra,CNG,1963.0,1106071.0
FY2021,Q2,Assam,Northeast,Electric Vehicle,E-Two-Wheeler,Bajaj Auto,Electric,243.0,78250.0
FY2024,Q2,Jharkhand,East,Two-Wheeler,Motorcycle,Honda Motorcycle,Electric,48397.0,30445.0
FY2024,Q2,Andhra Pradesh,South,Commercial Vehicle,LCV,Mahindra,Diesel,12637.0,2150976.0
FY2023,Q4,Karnataka,South,Passenger Car,SUV,Maruti Suzuki,Petrol,86538.0,1131366.0
FY2024,Q1,Rajasthan,North,Two-Wheeler,Scooter,Bajaj Auto,Petrol,301341.0,54950.0
FY2020,Q3,Meghalaya,Northeast,Electric Vehicle,E-Car,Tata Motors,Electric,50.0,324974.0
FY2023,Q1,Odisha,East,Two-Wheeler,Motorcycle,Bajaj Auto,CNG,74518.0,58991.0
FY2023,Q3,Maharashtra,West,Electric Vehicle,E-Two-Wheeler,TVS Motor,Electric,37475.0,129450.0
FY2024,Q4,Assam,Northeast,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,2228.0,1432894.0
FY2021,Q2,Punjab,North,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,1361.0,290311.0
FY2021,Q2,Punjab,North,Passenger Car,Hatchback,Maruti Suzuki,Electric,18997.0,716892.0
FY2024,Q3,Haryana,North,Commercial Vehicle,Bus,Mahindra,Diesel,10261.0,1023398.0
FY2020,Q1,Gujarat,West,Electric Vehicle,E-Two-Wheeler,Others,Electric,2431.0,276250.0
FY2022,Q4,Karnataka,South,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,13310.0,141609.0
FY2024,Q4,Andhra Pradesh,South,Two-Wheeler,Motorcycle,Hero MotoCorp,CNG,222248.0,37359.0
FY2021,Q4,Odisha,East,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,892.0,117865.0
FY2019,Q3,Himachal Pradesh,North,Commercial Vehicle,MHCV,Mahindra,Diesel,1679.0,1504161.0
FY2020,Q1,Karnataka,South,Passenger Car,Sedan,Maruti Suzuki,Diesel,53126.0,1867888.0
FY2020,Q3,Karnataka,South,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,6284.0,60045.0
FY2022,Q4,Uttar Pradesh,North,Two-Wheeler,Moped,Bajaj Auto,Petrol,409370.0,48162.0
FY2020,Q1,Haryana,North,Commercial Vehicle,LCV,Eicher Motors,Diesel,7564.0,2174319.0
FY2021,Q2,Chhattisgarh,Central,Electric Vehicle,E-Car,Bajaj Auto,Electric,540.0,356195.0
FY2020,Q4,Uttar Pradesh,North,Two-Wheeler,Scooter,Bajaj Auto,Petrol,534195.0,66730.0
FY2019,Q2,Odisha,East,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,192.0,90605.0
FY2024,Q3,Jammu & Kashmir,North,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,2251.0,136578.0
FY2020,Q3,Assam,Northeast,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,60681.0,77739.0
FY2023,Q2,Manipur,Northeast,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,196.0,379374.0
FY2021,Q3,Madhya Pradesh,Central,Passenger Car,SUV,Hyundai,Petrol,34527.0,1648910.0
FY2024,Q1,Sikkim,Northeast,Passenger Car,SUV,Maruti Suzuki,Petrol,963.0,788090.0
FY2021,Q3,Tamil Nadu,South,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,395176.0,47154.0
FY2024,Q1,Goa,West,Two-Wheeler,Motorcycle,TVS Motor,Petrol,21553.0,48363.0
FY2024,Q1,Goa,West,Commercial Vehicle,LCV,Ashok Leyland,Diesel,1128.0,1761518.0
FY2023,Q2,West Bengal,East,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,178661.0,49126.0
FY2024,Q2,Gujarat,West,Commercial Vehicle,LCV,Ashok Leyland,Diesel,20263.0,924654.0
FY2024,Q2,Manipur,Northeast,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,369.0,200152.0
FY2019,Q3,Bihar,East,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,261713.0,81192.0
FY2020,Q1,Telangana,South,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,2259.0,239746.0
FY2022,Q4,Manipur,Northeast,Passenger Car,SUV,Maruti Suzuki,Petrol,718.0,786040.0
FY2023,Q4,Punjab,North,Commercial Vehicle,Three-Wheeler Goods,Mahindra,Diesel,6333.0,1264866.0
FY2019,Q2,Chhattisgarh,Central,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,77699.0,45723.0
FY2019,Q3,Uttar Pradesh,North,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,793037.0,28547.0
FY2022,Q4,Kerala,South,Electric Vehicle,E-Two-Wheeler,Bajaj Auto,Electric,6008.0,241279.0
FY2022,Q4,Nagaland,Northeast,Commercial Vehicle,LCV,Tata Motors,Diesel,166.0,502928.0
FY2023,Q4,Manipur,Northeast,Passenger Car,SUV,Hyundai,Petrol,1038.0,1693895.0
FY2019,Q1,Sikkim,Northeast,Electric Vehicle,E-Car,Tata Motors,Electric,10.0,366067.0
FY2019,Q4,West Bengal,East,Passenger Car,Hatchback,Maruti Suzuki,Petrol,36763.0,830056.0
FY2022,Q3,Odisha,East,Two-Wheeler,Motorcycle,Bajaj Auto,Petrol,90799.0,85517.0
FY2023,Q1,Telangana,South,Passenger Car,Sedan,Others,Diesel,52561.0,676025.0
FY2020,Q2,Bihar,East,Commercial Vehicle,LCV,Tata Motors,Diesel,3960.0,1123869.0
FY2023,Q2,Gujarat,West,Electric Vehicle,E-Car,Ather Energy,Electric,14266.0,198751.0
FY2023,Q1,West Bengal,East,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,178604.0,90122.0
FY2020,Q1,Haryana,North,Two-Wheeler,Moped,Honda Motorcycle,Petrol,123567.0,39825.0
FY2020,Q2,Haryana,North,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,1626.0,330885.0
FY2021,Q1,Tripura,Northeast,Electric Vehicle,E-Two-Wheeler,Others,Electric,85.0,254827.0
FY2019,Q1,Meghalaya,Northeast,Commercial Vehicle,MHCV,Ashok Leyland,Electric,386.0,1403681.0
FY2023,Q2,Himachal Pradesh,North,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,22199.0,33156.0
FY2024,Q4,Madhya Pradesh,Central,Two-Wheeler,Scooter,Others,Electric,277200.0,73446.0
FY2019,Q4,Andhra Pradesh,South,Commercial Vehicle,LCV,Ashok Leyland,Diesel,11051.0,609698.0
FY2022,Q2,Goa,West,Passenger Car,MUV,Maruti Suzuki,Petrol,5079.0,1156721.0
FY2022,Q3,Assam,Northeast,Passenger Car,Hatchback,Maruti Suzuki,Diesel,7414.0,939143.0
FY2020,Q1,Himachal Pradesh,North,Electric Vehicle,E-Car,TVS Motor,Electric,175.0,147266.0
FY2024,Q3,Andhra Pradesh,South,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,32790.0,266853.0
FY2024,Q2,Odisha,East,Electric Vehicle,E-Car,Bajaj Auto,Electric,5705.0,281440.0
FY2024,Q4,Jammu & Kashmir,North,Passenger Car,SUV,Mahindra,Diesel,6118.0,898665.0
FY2021,Q1,Madhya Pradesh,Central,Electric Vehicle,E-Bus,Tata Motors,Electric,1316.0,177353.0
FY2019,Q2,Uttar Pradesh,North,Passenger Car,MUV,Hyundai,Diesel,64767.0,1112645.0
FY2019,Q4,Chhattisgarh,Central,Commercial Vehicle,MHCV,Mahindra,CNG,3614.0,900779.0
FY2024,Q4,Gujarat,West,Passenger Car,Hatchback,Maruti Suzuki,Petrol,76032.0,1397835.0
FY2019,Q4,Kerala,South,Passenger Car,Hatchback,Maruti Suzuki,Diesel,36924.0,727727.0
FY2020,Q2,Karnataka,South,Commercial Vehicle,LCV,Tata Motors,Electric,10903.0,964636.0
FY2023,Q1,Bihar,East,Two-Wheeler,Moped,Royal Enfield,Petrol,123968.0,77545.0
FY2022,Q1,Assam,Northeast,Commercial Vehicle,LCV,Force Motors,Diesel,1633.0,257111.0
FY2022,Q4,Tripura,Northeast,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,9452.0,67642.0
FY2024,Q1,Haryana,North,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,117749.0,84078.0
FY2021,Q2,Uttar Pradesh,North,Electric Vehicle,E-Two-Wheeler,Others,Electric,3201.0,
FY2022,Q1,Kerala,South,Commercial Vehicle,MHCV,Eicher Motors,Electric,5901.0,1251066.0
FY2021,Q4,Tripura,Northeast,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,120.0,237854.0
FY2021,Q2,Jammu & Kashmir,North,Electric Vehicle,E-Two-Wheeler,Others,Electric,199.0,132014.0
FY2019,Q3,Andhra Pradesh,South,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,389944.0,78943.0
FY2022,Q4,Goa,West,Passenger Car,Sedan,Tata Motors,Electric,6390.0,1363207.0
FY2023,Q3,Uttar Pradesh,North,Electric Vehicle,E-Three-Wheeler,Ather Energy,Electric,18259.0,172782.0
FY2020,Q2,West Bengal,East,Passenger Car,Sedan,Toyota,Petrol,27575.0,975005.0
FY2023,Q2,Jammu & Kashmir,North,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,18597.0,56428.0
FY2020,Q3,Tamil Nadu,South,Commercial Vehicle,MHCV,Tata Motors,Diesel,15779.0,1321081.0
FY2021,Q4,Assam,Northeast,Passenger Car,Sedan,Tata Motors,Petrol,5554.0,932105.0
FY2020,Q4,Punjab,North,Commercial Vehicle,MHCV,Tata Motors,Diesel,5419.0,1166712.0
FY2022,Q3,Himachal Pradesh,North,Two-Wheeler,Motorcycle,Others,Petrol,27240.0,57230.0
FY2024,Q4,Tamil Nadu,South,Commercial Vehicle,Three-Wheeler Goods,Others,CNG,19844.0,1313063.0
FY2021,Q1,Odisha,East,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,66533.0,97416.0
FY2021,Q1,Jammu & Kashmir,North,Commercial Vehicle,MHCV,Tata Motors,Diesel,794.0,1256046.0
FY2019,Q3,Maharashtra,West,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,,319571.0
FY2022,Q4,Delhi,North,Two-Wheeler,Motorcycle,TVS Motor,Electric,119764.0,94021.0
FY2022,Q2,Gujarat,West,Passenger Car,Hatchback,Hyundai,Diesel,48028.0,696392.0
FY2023,Q1,Tamil Nadu,South,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,16585.0,285159.0
FY2022,Q3,Delhi,North,Two-Wheeler,Scooter,TVS Motor,Petrol,158110.0,65435.0
FY2019,Q2,Maharashtra,West,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,523889.0,43963.0
FY2022,Q3,Meghalaya,Northeast,Passenger Car,Sedan,Maruti Suzuki,Electric,1814.0,643190.0
FY2022,Q2,Odisha,East,Commercial Vehicle,Three-Wheeler Goods,Tata Motors,Diesel,3112.0,2054932.0
FY2020,Q3,Goa,West,Commercial Vehicle,LCV,Tata Motors,CNG,977.0,1343166.0
FY2023,Q1,Kerala,South,Commercial Vehicle,Three-Wheeler Goods,Others,Electric,8640.0,2265160.0
FY2023,Q3,Himachal Pradesh,North,Electric Vehicle,E-Car,Tata Motors,Electric,1927.0,349542.0
FY2019,Q4,Chhattisgarh,Central,Passenger Car,Van,Maruti Suzuki,Petrol,10345.0,1235745.0
FY2020,Q3,Sikkim,Northeast,Commercial Vehicle,LCV,Ashok Leyland,Diesel,185.0,2293673.0
FY2020,Q4,Jharkhand,East,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,321.0,60819.0
FY2020,Q3,Tamil Nadu,South,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,493101.0,75675.0
FY2020,Q4,Andhra Pradesh,South,Commercial Vehicle,LCV,Mahindra,Electric,,1652135.0
FY2019,Q2,Odisha,East,Two-Wheeler,Motorcycle,TVS Motor,Petrol,108759.0,71140.0
FY2019,Q4,Karnataka,South,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,357201.0,92589.0
FY2022,Q2,Tamil Nadu,South,Commercial Vehicle,MHCV,Others,CNG,13994.0,1010312.0
FY2024,Q4,Gujarat,West,Two-Wheeler,Motorcycle,Royal Enfield,Electric,274205.0,60257.0
FY2021,Q3,Assam,Northeast,Commercial Vehicle,LCV,Mahindra,CNG,1529.0,925523.0
FY2019,Q3,Assam,Northeast,Commercial Vehicle,LCV,Tata Motors,Diesel,2250.0,198165.0
FY2022,Q2,Haryana,North,Passenger Car,MUV,Tata Motors,Diesel,22457.0,1101372.0
FY2023,Q4,Tripura,Northeast,Electric Vehicle,E-Three-Wheeler,Others,Electric,457.0,302813.0
FY2020,Q4,Kerala,South,Passenger Car,SUV,Maruti Suzuki,Petrol,30540.0,1194489.0
FY2021,Q4,Punjab,North,Electric Vehicle,E-Bus,Tata Motors,Electric,1540.0,78517.0
FY2024,Q2,Maharashtra,West,Commercial Vehicle,LCV,Ashok Leyland,CNG,27383.0,2149005.0
FY2022,Q2,Maharashtra,West,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,326090.0,87726.0
FY2021,Q1,West Bengal,East,Two-Wheeler,Motorcycle,Hero MotoCorp,CNG,171842.0,45738.0
FY2024,Q3,Maharashtra,West,Passenger Car,Hatchback,Toyota,Electric,170451.0,693511.0
FY2020,Q2,West Bengal,East,Two-Wheeler,Motorcycle,Royal Enfield,Petrol,199675.0,42596.0
FY2021,Q3,Sikkim,Northeast,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,79.0,86361.0
FY2023,Q1,Maharashtra,West,Commercial Vehicle,LCV,Tata Motors,Diesel,26895.0,1546974.0
FY2022,Q3,Chhattisgarh,Central,Two-Wheeler,Motorcycle,Bajaj Auto,Petrol,68351.0,80131.0
FY2020,Q1,Jammu & Kashmir,North,Two-Wheeler,Scooter,TVS Motor,Petrol,19333.0,20510.0
FY2023,Q3,Tripura,Northeast,Two-Wheeler,Motorcycle,Others,Petrol,15059.0,102611.0
FY2019,Q2,Jharkhand,East,Two-Wheeler,Motorcycle,Others,Electric,65731.0,73684.0
FY2021,Q2,Uttarakhand,North,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,35454.0,81493.0
FY2022,Q1,Manipur,Northeast,Passenger Car,Hatchback,Maruti Suzuki,CNG,722.0,311429.0
FY2023,Q1,Chhattisgarh,Central,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,1708.0,166152.0
FY2023,Q2,Punjab,North,Passenger Car,SUV,Maruti Suzuki,Petrol,25019.0,931633.0
FY2022,Q1,Delhi,North,Commercial Vehicle,MHCV,Mahindra,CNG,,1084577.0
FY2023,Q1,Haryana,North,Electric Vehicle,E-Two-Wheeler,TVS Motor,Electric,7688.0,323215.0
FY2019,Q2,Madhya Pradesh,Central,Commercial Vehicle,LCV,Ashok Leyland,Diesel,11683.0,1429185.0
FY2020,Q2,Himachal Pradesh,North,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,1305.0,747705.0
FY2024,Q3,Chhattisgarh,Central,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,86547.0,54114.0
FY2021,Q2,Madhya Pradesh,Central,Passenger Car,Hatchback,Kia,Petrol,27089.0,753416.0
FY2022,Q1,Himachal Pradesh,North,Electric Vehicle,E-Car,Tata Motors,Electric,494.0,285137.0
FY2022,Q4,Bihar,East,Passenger Car,SUV,Toyota,Petrol,16388.0,759148.0
FY2021,Q4,Goa,West,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,546.0,206359.0
FY2020,Q3,Uttarakhand,North,Passenger Car,SUV,Tata Motors,Diesel,7953.0,1169861.0
FY2021,Q4,Punjab,North,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,86571.0,75040.0
FY2020,Q3,Gujarat,West,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,365891.0,83882.0
FY2020,Q3,Delhi,North,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,220786.0,68525.0
FY2022,Q3,Tamil Nadu,South,Commercial Vehicle,MHCV,Others,Diesel,16601.0,528163.0
FY2021,Q2,Gujarat,West,Passenger Car,Hatchback,Tata Motors,Petrol,43138.0,780944.0
FY2023,Q3,Meghalaya,Northeast,Two-Wheeler,Motorcycle,TVS Motor,Petrol,10664.0,61752.0
FY2020,Q4,Odisha,East,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,86796.0,54726.0
FY2023,Q3,Tamil Nadu,South,Two-Wheeler,Scooter,Honda Motorcycle,Electric,444801.0,76199.0
FY2024,Q3,Uttar Pradesh,North,Commercial Vehicle,LCV,Tata Motors,Diesel,27548.0,1283863.0
FY2020,Q2,Andhra Pradesh,South,Passenger Car,SUV,Maruti Suzuki,Diesel,28908.0,716952.0
FY2020,Q4,Bihar,East,Electric Vehicle,E-Two-Wheeler,Others,Electric,595.0,294284.0
FY2024,Q1,Assam,Northeast,Electric Vehicle,E-Car,Tata Motors,Electric,1523.0,301036.0
FY2023,Q2,Manipur,Northeast,Commercial Vehicle,Bus,Tata Motors,Diesel,451.0,1444697.0
FY2020,Q1,Gujarat,West,Passenger Car,SUV,Toyota,CNG,49053.0,355471.0
FY2024,Q4,Delhi,North,Passenger Car,Van,Tata Motors,Diesel,57779.0,187021.0
FY2020,Q2,Haryana,North,Two-Wheeler,Motorcycle,Royal Enfield,Petrol,130207.0,98876.0
FY2020,Q3,Punjab,North,Commercial Vehicle,LCV,Tata Motors,Diesel,5910.0,1889228.0
FY2022,Q2,Meghalaya,Northeast,Commercial Vehicle,Bus,Ashok Leyland,Diesel,358.0,1993538.0
FY2022,Q1,Goa,West,Passenger Car,SUV,Tata Motors,Electric,5289.0,1017413.0
FY2020,Q3,Jharkhand,East,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,425.0,169515.0
FY2019,Q1,Andhra Pradesh,South,Passenger Car,SUV,Maruti Suzuki,Diesel,40479.0,378522.0
FY2022,Q1,Bihar,East,Commercial Vehicle,Three-Wheeler Goods,Mahindra,Diesel,4470.0,1836408.0
FY2023,Q4,Jammu & Kashmir,North,Passenger Car,SUV,Mahindra,Petrol,6215.0,1014270.0
FY2022,Q2,Maharashtra,West,Passenger Car,Hatchback,Maruti Suzuki,Diesel,88747.0,1261392.0
