Year,Quarter,Region,State,Segment,Vehicle_Class,Manufacturer,Fuel_Type,Units_Sold,Avg_Price_INR
FY2019,Q1,East,Odisha,Passenger Car,SUV,Maruti Suzuki,Diesel,14900,854051
FY2019,Q1,East,Odisha,Three-Wheeler,Passenger 3W,Piaggio,CNG,3091,250833
FY2019,Q1,East,Odisha,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,95241,82559
FY2019,Q1,East,West Bengal,Commercial Vehicle,MHCV,Tata Motors,Electric,9514,1261664
FY2019,Q1,East,West Bengal,Electric Vehicle,E-Three-Wheeler,Others,Electric,414,305100
FY2019,Q1,East,West Bengal,Passenger Car,Sedan,Kia,Petrol,19474,683422
FY2019,Q1,East,West Bengal,Three-Wheeler,Passenger 3W,Bajaj Auto,Petrol,10006,192413
FY2019,Q1,East,West Bengal,Two-Wheeler,Scooter,Hero MotoCorp,CNG,246554,29725
FY2019,Q1,North,Delhi,Commercial Vehicle,LCV,Tata Motors,Diesel,7945,1293062
FY2019,Q1,North,Delhi,Electric Vehicle,E-Three-Wheeler,Tata Motors,Electric,950,242217
FY2019,Q1,North,Delhi,Passenger Car,SUV,Mahindra,Diesel,42181,1104261
FY2019,Q1,North,Delhi,Three-Wheeler,Goods 3W,Bajaj Auto,Petrol,15994,210812
FY2019,Q1,North,Delhi,Two-Wheeler,Scooter,Royal Enfield,Petrol,183354,62918
FY2019,Q1,North,Haryana,Commercial Vehicle,LCV,Force Motors,CNG,8282,1729765
FY2019,Q1,North,Haryana,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,522,206084
FY2019,Q1,North,Haryana,Passenger Car,SUV,Maruti Suzuki,Petrol,28706,933230
FY2019,Q1,North,Haryana,Three-Wheeler,Passenger 3W,Bajaj Auto,Petrol,4681,204482
FY2019,Q1,North,Haryana,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,141689,52815
FY2019,Q1,North,Himachal Pradesh,Commercial Vehicle,Bus,Tata Motors,Electric,1723,896044
FY2019,Q1,North,Himachal Pradesh,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,75,238520
FY2019,Q1,North,Himachal Pradesh,Passenger Car,Hatchback,Mahindra,Petrol,5295,1020573
FY2019,Q1,North,Himachal Pradesh,Three-Wheeler,Goods 3W,Piaggio,Electric,835,207588
FY2019,Q1,North,Himachal Pradesh,Two-Wheeler,Motorcycle,Honda Motorcycle,Electric,28494,59617
FY2019,Q1,North,Jammu & Kashmir,Commercial Vehicle,LCV,Tata Motors,CNG,1280,962078
FY2019,Q1,North,Jammu & Kashmir,Electric Vehicle,E-Car,Tata Motors,Electric,46,135857
FY2019,Q1,North,Jammu & Kashmir,Passenger Car,SUV,Toyota,CNG,4261,746061
FY2019,Q1,North,Jammu & Kashmir,Three-Wheeler,Passenger 3W,Mahindra,Petrol,759,305394
FY2019,Q1,North,Jammu & Kashmir,Two-Wheeler,Motorcycle,Hero MotoCorp,Electric,25661,52363
FY2019,Q1,North,Punjab,Commercial Vehicle,Bus,Tata Motors,Diesel,6598,2283255
FY2019,Q1,North,Punjab,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,296,315609
FY2019,Q1,North,Punjab,Passenger Car,MUV,Kia,Petrol,23099,1495313
FY2019,Q1,North,Punjab,Three-Wheeler,Goods 3W,TVS Motor,Electric,4276,213553
FY2019,Q1,North,Punjab,Two-Wheeler,Scooter,Bajaj Auto,Petrol,112682,76010
FY2019,Q1,North,Rajasthan,Commercial Vehicle,LCV,Ashok Leyland,Diesel,15152,725911
FY2019,Q1,North,Rajasthan,Electric Vehicle,E-Three-Wheeler,Ola Electric,Electric,459,202492
FY2019,Q1,North,Rajasthan,Passenger Car,Sedan,Maruti Suzuki,Petrol,40646,804041
FY2019,Q1,North,Rajasthan,Three-Wheeler,Goods 3W,Piaggio,CNG,7640,270927
FY2019,Q1,North,Rajasthan,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,348748,91381
FY2019,Q1,North,Uttar Pradesh,Commercial Vehicle,MHCV,Ashok Leyland,Electric,24089,877235
FY2019,Q1,North,Uttar Pradesh,Electric Vehicle,E-Car,Ather Energy,Electric,804,214605
FY2019,Q1,North,Uttar Pradesh,Passenger Car,SUV,Maruti Suzuki,Electric,67654,884124
FY2019,Q1,North,Uttar Pradesh,Three-Wheeler,Passenger 3W,TVS Motor,CNG,24046,235579
FY2019,Q1,North,Uttar Pradesh,Two-Wheeler,Scooter,Others,Petrol,575553,60785
FY2019,Q1,North,Uttarakhand,Commercial Vehicle,LCV,Mahindra,CNG,2649,2442356
FY2019,Q1,North,Uttarakhand,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,122,234975
FY2019,Q1,North,Uttarakhand,Passenger Car,Sedan,Maruti Suzuki,CNG,7372,596443
FY2019,Q1,North,Uttarakhand,Three-Wheeler,Passenger 3W,Bajaj Auto,CNG,1741,230071
FY2019,Q1,North,Uttarakhand,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,49123,66566
FY2019,Q1,Northeast,Assam,Commercial Vehicle,LCV,Eicher Motors,Diesel,1989,1780253
FY2019,Q1,Northeast,Assam,Electric Vehicle,E-Bus,Ola Electric,Electric,55,237866
FY2019,Q1,Northeast,Assam,Passenger Car,Hatchback,Kia,CNG,6232,597266
FY2019,Q1,Northeast,Assam,Three-Wheeler,Passenger 3W,TVS Motor,Petrol,2012,127682
FY2019,Q1,Northeast,Assam,Two-Wheeler,Motorcycle,Bajaj Auto,Petrol,48243,50447
FY2019,Q1,Northeast,Manipur,Commercial Vehicle,MHCV,Ashok Leyland,CNG,395,660726
FY2019,Q1,Northeast,Manipur,Electric Vehicle,E-Three-Wheeler,TVS Motor,Electric,10,14606
FY2019,Q1,Northeast,Manipur,Passenger Car,Hatchback,Hyundai,CNG,768,890054
FY2019,Q1,Northeast,Manipur,Three-Wheeler,Passenger 3W,Bajaj Auto,Electric,300,266233
FY2019,Q1,Northeast,Manipur,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,10482,50559
FY2019,Q1,Northeast,Meghalaya,Commercial Vehicle,MHCV,Ashok Leyland,Electric,386,1403681
FY2019,Q1,Northeast,Meghalaya,Electric Vehicle,E-Two-Wheeler,Others,Electric,11,148711
FY2019,Q1,Northeast,Meghalaya,Passenger Car,Hatchback,Maruti Suzuki,Petrol,1647,1043501
FY2019,Q1,Northeast,Meghalaya,Three-Wheeler,Passenger 3W,Piaggio,Petrol,333,304787
FY2019,Q1,Northeast,Meghalaya,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,9016,58831
FY2019,Q1,Northeast,Nagaland,Commercial Vehicle,LCV,Force Motors,Diesel,197,2648707
FY2019,Q1,Northeast,Nagaland,Electric Vehicle,E-Two-Wheeler,TVS Motor,Electric,11,212811
FY2019,Q1,Northeast,Nagaland,Passenger Car,Van,Hyundai,Diesel,770,781600
FY2019,Q1,Northeast,Nagaland,Three-Wheeler,Passenger 3W,TVS Motor,Petrol,165,213700
FY2019,Q1,Northeast,Nagaland,Two-Wheeler,Motorcycle,Others,CNG,4787,30462
FY2019,Q1,Northeast,Sikkim,Commercial Vehicle,LCV,Ashok Leyland,Diesel,207,1423003
FY2019,Q1,Northeast,Sikkim,Electric Vehicle,E-Car,Tata Motors,Electric,10,366067
FY2019,Q1,Northeast,Sikkim,Passenger Car,Hatchback,Maruti Suzuki,Petrol,812,1394268
FY2019,Q1,Northeast,Sikkim,Three-Wheeler,Passenger 3W,Bajaj Auto,Petrol,172,228629
FY2019,Q1,Northeast,Sikkim,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,4725,64522
FY2019,Q1,Northeast,Tripura,Commercial Vehicle,MHCV,Force Motors,Diesel,617,997100
FY2019,Q1,Northeast,Tripura,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,21,160640
FY2019,Q1,Northeast,Tripura,Passenger Car,SUV,Maruti Suzuki,Petrol,1533,1096683
FY2019,Q1,Northeast,Tripura,Three-Wheeler,Passenger 3W,TVS Motor,CNG,505,225149
FY2019,Q1,Northeast,Tripura,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,14043,59102
FY2019,Q1,South,Andhra Pradesh,Commercial Vehicle,Three-Wheeler Goods,Tata Motors,Diesel,11011,2170161
FY2019,Q1,South,Andhra Pradesh,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,709,81469
FY2019,Q1,South,Andhra Pradesh,Passenger Car,SUV,Maruti Suzuki,Diesel,40479,378522
FY2019,Q1,South,Andhra Pradesh,Three-Wheeler,Passenger 3W,TVS Motor,Petrol,7291,126263
FY2019,Q1,South,Andhra Pradesh,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,277134,59749
FY2019,Q1,South,Karnataka,Commercial Vehicle,LCV,Ashok Leyland,Diesel,13377,900893
FY2019,Q1,South,Karnataka,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,1414,256377
FY2019,Q1,South,Karnataka,Passenger Car,Sedan,Mahindra,Petrol,67021,1103421
FY2019,Q1,South,Karnataka,Three-Wheeler,Passenger 3W,Piaggio,CNG,8370,226673
FY2019,Q1,South,Karnataka,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,308179,56616
FY2019,Q1,South,Kerala,Commercial Vehicle,LCV,Force Motors,Diesel,7481,1885158
FY2019,Q1,South,Kerala,Electric Vehicle,E-Two-Wheeler,Others,Electric,631,330674
FY2019,Q1,South,Kerala,Passenger Car,Van,Hyundai,Electric,33708,1067994
FY2019,Q1,South,Kerala,Three-Wheeler,Passenger 3W,Piaggio,Petrol,3810,265117
FY2019,Q1,South,Kerala,Two-Wheeler,Motorcycle,Hero MotoCorp,Electric,144220,59580
FY2019,Q1,South,Tamil Nadu,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,18796,1536559
FY2019,Q1,South,Tamil Nadu,Electric Vehicle,E-Three-Wheeler,Tata Motors,Electric,1095,274021
FY2019,Q1,South,Tamil Nadu,Passenger Car,Hatchback,Maruti Suzuki,Petrol,70630,930235
FY2019,Q1,South,Tamil Nadu,Three-Wheeler,Passenger 3W,Bajaj Auto,CNG,9907,252502
FY2019,Q1,South,Tamil Nadu,Two-Wheeler,Motorcycle,Others,Electric,361527,56658
FY2019,Q1,South,Telangana,Commercial Vehicle,MHCV,Tata Motors,Diesel,9573,1604719
FY2019,Q1,South,Telangana,Electric Vehicle,E-Car,Others,Electric,858,140448
FY2019,Q1,South,Telangana,Passenger Car,SUV,Tata Motors,Petrol,43685,924208
FY2019,Q1,South,Telangana,Three-Wheeler,Passenger 3W,Bajaj Auto,Electric,6506,206585
FY2019,Q1,South,Telangana,Two-Wheeler,Scooter,Royal Enfield,Petrol,203845,68759
FY2019,Q1,West,Goa,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,1069,528526
FY2019,Q1,West,Goa,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,119,139137
FY2019,Q1,West,Goa,Passenger Car,Sedan,Toyota,Petrol,5897,1168035
FY2019,Q1,West,Goa,Three-Wheeler,Goods 3W,Piaggio,CNG,969,188786
FY2019,Q1,West,Goa,Two-Wheeler,Scooter,Bajaj Auto,Petrol,26154,55968
FY2019,Q1,West,Gujarat,Commercial Vehicle,MHCV,Mahindra,Diesel,18804,1407841
FY2019,Q1,West,Gujarat,Electric Vehicle,E-Three-Wheeler,Tata Motors,Electric,858,200445
FY2019,Q1,West,Gujarat,Passenger Car,Sedan,Kia,Petrol,55222,1008056
FY2019,Q1,West,Gujarat,Three-Wheeler,Passenger 3W,Bajaj Auto,Petrol,13022,257696
FY2019,Q1,West,Gujarat,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,302856,60936
FY2019,Q1,West,Maharashtra,Commercial Vehicle,Three-Wheeler Goods,Tata Motors,CNG,24896,1386869
FY2019,Q1,West,Maharashtra,Electric Vehicle,E-Three-Wheeler,Tata Motors,Electric,1448,135408
FY2019,Q1,West,Maharashtra,Passenger Car,SUV,Maruti Suzuki,Petrol,93481,711094
FY2019,Q1,West,Maharashtra,Three-Wheeler,Passenger 3W,Mahindra,CNG,18739,293139
FY2019,Q1,West,Maharashtra,Two-Wheeler,Scooter,Bajaj Auto,Petrol,432103,60785
FY2019,Q2,Central,Chhattisgarh,Commercial Vehicle,MHCV,Mahindra,Diesel,3362,515474
FY2019,Q2,Central,Chhattisgarh,Electric Vehicle,E-Three-Wheeler,Ola Electric,Electric,132,227721
FY2019,Q2,Central,Chhattisgarh,Passenger Car,Hatchback,Kia,CNG,9435,646346
FY2019,Q2,Central,Chhattisgarh,Three-Wheeler,Goods 3W,Bajaj Auto,CNG,2433,208449
FY2019,Q2,Central,Chhattisgarh,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,77699,45723
FY2019,Q2,Central,Madhya Pradesh,Commercial Vehicle,LCV,Ashok Leyland,Diesel,11683,1429185
FY2019,Q2,Central,Madhya Pradesh,Electric Vehicle,E-Car,Tata Motors,Electric,368,162967
FY2019,Q2,Central,Madhya Pradesh,Passenger Car,SUV,Maruti Suzuki,CNG,30925,719973
FY2019,Q2,Central,Madhya Pradesh,Three-Wheeler,Goods 3W,Bajaj Auto,CNG,5810,350271
FY2019,Q2,Central,Madhya Pradesh,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,328474,79643
FY2019,Q2,East,Bihar,Commercial Vehicle,Bus,Tata Motors,Diesel,5068,1112958
FY2019,Q2,East,Bihar,Electric Vehicle,E-Car,Ola Electric,Electric,199,189525
FY2019,Q2,East,Bihar,Passenger Car,SUV,Others,Petrol,13943,890193
FY2019,Q2,East,Bihar,Three-Wheeler,Goods 3W,Bajaj Auto,CNG,6834,160491
FY2019,Q2,East,Bihar,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,167451,63612
FY2019,Q2,East,Jharkhand,Commercial Vehicle,LCV,Eicher Motors,CNG,3186,1583373
FY2019,Q2,East,Jharkhand,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,98,331990
FY2019,Q2,East,Jharkhand,Passenger Car,MUV,Toyota,Electric,7269,1509156
FY2019,Q2,East,Jharkhand,Three-Wheeler,Passenger 3W,Bajaj Auto,CNG,1942,172423
FY2019,Q2,East,Jharkhand,Two-Wheeler,Motorcycle,Others,Electric,65731,73684
FY2019,Q2,East,Odisha,Commercial Vehicle,LCV,Mahindra,Diesel,4127,1259437
FY2019,Q2,East,Odisha,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,192,90605
FY2019,Q2,East,Odisha,Passenger Car,SUV,Mahindra,CNG,13637,428248
FY2019,Q2,East,Odisha,Three-Wheeler,Goods 3W,Mahindra,Petrol,3443,205455
FY2019,Q2,East,Odisha,Two-Wheeler,Motorcycle,TVS Motor,Petrol,108759,71140
FY2019,Q2,East,West Bengal,Commercial Vehicle,Bus,Tata Motors,Diesel,9570,881928
FY2019,Q2,East,West Bengal,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,471,342401
FY2019,Q2,East,West Bengal,Passenger Car,Sedan,Toyota,CNG,35609,804227
FY2019,Q2,East,West Bengal,Three-Wheeler,Goods 3W,Bajaj Auto,CNG,10630,173906
FY2019,Q2,East,West Bengal,Two-Wheeler,Scooter,Royal Enfield,Electric,265099,41231
FY2019,Q2,North,Delhi,Commercial Vehicle,Three-Wheeler Goods,Eicher Motors,CNG,7501,1625247
FY2019,Q2,North,Delhi,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,1037,189228
FY2019,Q2,North,Delhi,Passenger Car,SUV,Others,Petrol,39197,1230334
FY2019,Q2,North,Delhi,Three-Wheeler,Goods 3W,TVS Motor,Petrol,15645,259293
FY2019,Q2,North,Delhi,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,183164,70275
FY2019,Q2,North,Haryana,Commercial Vehicle,LCV,Ashok Leyland,Diesel,8208,1176019
FY2019,Q2,North,Haryana,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,625,265606
FY2019,Q2,North,Haryana,Passenger Car,SUV,Maruti Suzuki,Petrol,25610,1154953
FY2019,Q2,North,Haryana,Three-Wheeler,Passenger 3W,Bajaj Auto,Electric,5192,209534
FY2019,Q2,North,Haryana,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,157242,85854
FY2019,Q2,North,Himachal Pradesh,Commercial Vehicle,LCV,Mahindra,Diesel,1550,783449
FY2019,Q2,North,Himachal Pradesh,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,81,424088
FY2019,Q2,North,Himachal Pradesh,Passenger Car,SUV,Kia,Petrol,5111,611901
FY2019,Q2,North,Himachal Pradesh,Three-Wheeler,Goods 3W,Mahindra,CNG,772,205576
FY2019,Q2,North,Himachal Pradesh,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,32426,37732
FY2019,Q2,North,Jammu & Kashmir,Commercial Vehicle,Three-Wheeler Goods,Tata Motors,Diesel,1151,1453603
FY2019,Q2,North,Jammu & Kashmir,Electric Vehicle,E-Car,Tata Motors,Electric,52,206237
FY2019,Q2,North,Jammu & Kashmir,Passenger Car,MUV,Mahindra,Diesel,4320,1034486
FY2019,Q2,North,Jammu & Kashmir,Three-Wheeler,Passenger 3W,Bajaj Auto,Petrol,865,213299
FY2019,Q2,North,Jammu & Kashmir,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,25009,74270
FY2019,Q2,North,Punjab,Commercial Vehicle,Three-Wheeler Goods,Tata Motors,Diesel,5932,792596
FY2019,Q2,North,Punjab,Electric Vehicle,E-Three-Wheeler,Ather Energy,Electric,329,351403
FY2019,Q2,North,Punjab,Passenger Car,SUV,Maruti Suzuki,Petrol,20601,889039
FY2019,Q2,North,Punjab,Three-Wheeler,Passenger 3W,Bajaj Auto,CNG,4287,175936
FY2019,Q2,North,Punjab,Two-Wheeler,Scooter,Bajaj Auto,Petrol,130987,50227
FY2019,Q2,North,Rajasthan,Commercial Vehicle,Three-Wheeler Goods,Mahindra,Electric,15024,1200050
FY2019,Q2,North,Rajasthan,Electric Vehicle,E-Two-Wheeler,TVS Motor,Electric,539,458017
FY2019,Q2,North,Rajasthan,Passenger Car,Hatchback,Maruti Suzuki,CNG,42576,939670
FY2019,Q2,North,Rajasthan,Three-Wheeler,Passenger 3W,Piaggio,Petrol,8517,161009
FY2019,Q2,North,Rajasthan,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,331872,37088
FY2019,Q2,North,Uttar Pradesh,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,22897,924407
FY2019,Q2,North,Uttar Pradesh,Electric Vehicle,E-Car,Ola Electric,Electric,800,189433
FY2019,Q2,North,Uttar Pradesh,Passenger Car,MUV,Hyundai,Diesel,64767,1112645
FY2019,Q2,North,Uttar Pradesh,Three-Wheeler,Goods 3W,Bajaj Auto,CNG,21666,257352
FY2019,Q2,North,Uttar Pradesh,Two-Wheeler,Motorcycle,Hero MotoCorp,Electric,569976,64375
FY2019,Q2,North,Uttarakhand,Commercial Vehicle,Three-Wheeler Goods,Ashok Leyland,Diesel,2228,1377372
FY2019,Q2,North,Uttarakhand,Electric Vehicle,E-Three-Wheeler,Others,Electric,1452,186516
FY2019,Q2,North,Uttarakhand,Passenger Car,Hatchback,Tata Motors,Petrol,7165,780727
FY2019,Q2,North,Uttarakhand,Three-Wheeler,Goods 3W,Bajaj Auto,Petrol,1666,291168
FY2019,Q2,North,Uttarakhand,Two-Wheeler,Moped,Royal Enfield,Petrol,47202,49757
FY2019,Q2,Northeast,Assam,Commercial Vehicle,Three-Wheeler Goods,Force Motors,Diesel,1910,1140666
FY2019,Q2,Northeast,Assam,Electric Vehicle,E-Three-Wheeler,Bajaj Auto,Electric,60,10000
FY2019,Q2,Northeast,Assam,Passenger Car,Sedan,Maruti Suzuki,Petrol,5937,512139
FY2019,Q2,Northeast,Assam,Three-Wheeler,Goods 3W,Bajaj Auto,CNG,2088,248466
FY2019,Q2,Northeast,Assam,Two-Wheeler,Motorcycle,TVS Motor,Petrol,54740,66047
FY2019,Q2,Northeast,Manipur,Commercial Vehicle,Bus,Ashok Leyland,Diesel,376,981954
FY2019,Q2,Northeast,Manipur,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,1452,161273
FY2019,Q2,Northeast,Manipur,Passenger Car,Hatchback,Others,Petrol,19474,1721736
FY2019,Q2,Northeast,Manipur,Three-Wheeler,Passenger 3W,Mahindra,Petrol,338,124314
FY2019,Q2,Northeast,Manipur,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,10177,66473
FY2019,Q2,Northeast,Meghalaya,Commercial Vehicle,LCV,Mahindra,Diesel,394,1748793
FY2019,Q2,Northeast,Meghalaya,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,11,236524
FY2019,Q2,Northeast,Meghalaya,Passenger Car,Hatchback,Kia,CNG,1361,939670
FY2019,Q2,Northeast,Meghalaya,Three-Wheeler,Goods 3W,TVS Motor,Petrol,324,250692
FY2019,Q2,Northeast,Meghalaya,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,10872,56263
FY2019,Q2,Northeast,Nagaland,Commercial Vehicle,LCV,Ashok Leyland,Diesel,212,1628662
FY2019,Q2,Northeast,Nagaland,Electric Vehicle,E-Three-Wheeler,Ola Electric,Electric,11,153537
FY2019,Q2,Northeast,Nagaland,Passenger Car,SUV,Mahindra,Petrol,749,645386
FY2019,Q2,Northeast,Nagaland,Three-Wheeler,Passenger 3W,Bajaj Auto,Petrol,154,311988
FY2019,Q2,Northeast,Nagaland,Two-Wheeler,Motorcycle,Hero MotoCorp,Electric,4732,66157
FY2019,Q2,Northeast,Sikkim,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,212,2449110
FY2019,Q2,Northeast,Sikkim,Electric Vehicle,E-Car,TVS Motor,Electric,11,200109
FY2019,Q2,Northeast,Sikkim,Passenger Car,MUV,Tata Motors,Petrol,699,974793
FY2019,Q2,Northeast,Sikkim,Three-Wheeler,Goods 3W,Bajaj Auto,Electric,158,204857
FY2019,Q2,Northeast,Sikkim,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,5338,45600
FY2019,Q2,Northeast,Tripura,Commercial Vehicle,MHCV,Others,Diesel,588,1240576
FY2019,Q2,Northeast,Tripura,Electric Vehicle,E-Bus,Ola Electric,Electric,23,258553
FY2019,Q2,Northeast,Tripura,Passenger Car,Sedan,Toyota,Petrol,1514,1357153
FY2019,Q2,Northeast,Tripura,Three-Wheeler,Goods 3W,TVS Motor,Electric,489,186513
FY2019,Q2,Northeast,Tripura,Two-Wheeler,Scooter,TVS Motor,Petrol,16083,134349
FY2019,Q2,South,Andhra Pradesh,Commercial Vehicle,Bus,Ashok Leyland,Diesel,10621,1098070
FY2019,Q2,South,Andhra Pradesh,Electric Vehicle,E-Car,Ola Electric,Electric,829,276386
FY2019,Q2,South,Andhra Pradesh,Passenger Car,SUV,Maruti Suzuki,Electric,36009,1188401
FY2019,Q2,South,Andhra Pradesh,Three-Wheeler,Passenger 3W,Bajaj Auto,CNG,7273,260695
FY2019,Q2,South,Andhra Pradesh,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,295719,42844
FY2019,Q2,South,Karnataka,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,13359,1315870
FY2019,Q2,South,Karnataka,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,1434,127749
FY2019,Q2,South,Karnataka,Passenger Car,Sedan,Maruti Suzuki,Petrol,67616,1055442
FY2019,Q2,South,Karnataka,Three-Wheeler,Passenger 3W,TVS Motor,CNG,8436,238406
FY2019,Q2,South,Karnataka,Two-Wheeler,Motorcycle,Bajaj Auto,Petrol,310802,104428
FY2019,Q2,South,Kerala,Commercial Vehicle,LCV,Ashok Leyland,Diesel,6738,1269120
FY2019,Q2,South,Kerala,Electric Vehicle,E-Three-Wheeler,Bajaj Auto,Electric,691,240128
FY2019,Q2,South,Kerala,Passenger Car,Hatchback,Maruti Suzuki,Petrol,35837,1421254
FY2019,Q2,South,Kerala,Three-Wheeler,Passenger 3W,Piaggio,CNG,3766,80000
FY2019,Q2,South,Kerala,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,141353,52141
FY2019,Q2,South,Tamil Nadu,Commercial Vehicle,Bus,Ashok Leyland,Diesel,16183,765931
FY2019,Q2,South,Tamil Nadu,Electric Vehicle,E-Car,TVS Motor,Electric,1156,340332
FY2019,Q2,South,Tamil Nadu,Passenger Car,SUV,Maruti Suzuki,Petrol,73965,939670
FY2019,Q2,South,Tamil Nadu,Three-Wheeler,Passenger 3W,Bajaj Auto,Electric,9198,246872
FY2019,Q2,South,Tamil Nadu,Two-Wheeler,Scooter,TVS Motor,Petrol,392176,75563
FY2019,Q2,South,Telangana,Commercial Vehicle,Three-Wheeler Goods,Ashok Leyland,CNG,9151,1443508
FY2019,Q2,South,Telangana,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,1000,131899
FY2019,Q2,South,Telangana,Passenger Car,SUV,Maruti Suzuki,Diesel,47381,1228129
FY2019,Q2,South,Telangana,Three-Wheeler,Goods 3W,TVS Motor,Electric,6746,118261
FY2019,Q2,South,Telangana,Two-Wheeler,Scooter,Royal Enfield,Electric,215273,42734
FY2019,Q2,West,Goa,Commercial Vehicle,MHCV,Tata Motors,Electric,1036,1826600
